里程,替代航线平均价格,替代航线平均运量,替代航线平均里程,价格,运量
487,1367.800049,87,499.0,872.7999880000001,23
3428,1849.8999019999999,524,3574.0,2051.5,28
1741,1255.1000980000001,427,1808.6666260000002,1317.900024,30
651,808.200012,28,660.0,459.0,123
1099,1302.0,678,1163.0,1468.5,17
1671,1906.199951,753,1689.0,1480.199951,19
1326,1287.1599609999998,1565,1420.199951,1010.0,320
1022,1072.550049,689,1088.5,1099.900024,23
620,732.099976,161,809.0,736.900024,75
2228,1647.924927,207,2327.5,1305.199951,16
920,1064.200033,653,983.6666869999999,1019.7000119999999,44
582,954.2999880000001,72,742.0,585.5,60
1987,1981.25,834,2060.5,1809.199951,74
853,1276.949951,127,892.5,1027.5,56
761,1035.5,97,929.0,714.0,27
1024,1346.849976,225,1094.0,1152.599976,101
1326,1337.375,554,1406.0,1085.199951,56
550,1239.3999019999999,43,739.0,773.5,23
1479,1441.674927,1300,1544.0,999.599976,226
1987,2001.075073,753,2060.5,1878.0,76
1716,1609.506552,248,1781.8063960000002,1371.0,3011
581,1040.400024,239,683.0,649.599976,279
744,1238.099976,134,821.0,853.900024,1608
348,1182.1000980000001,819,424.0,474.799988,68
473,786.75,246,583.5,606.900024,351
1343,1234.5199220000002,390,1406.900024,1180.199951,2140
1227,1287.780078,225,1324.800049,1052.800049,1436
1388,1605.400036,523,1468.090942,1188.800049,4619
1860,2175.75,1720,1918.5,2514.199951,7
399,1164.75,209,377.5,671.200012,2015
1982,2147.600098,1553,2049.0,2322.100098,27
990,1414.799927,153,1055.0,975.0,396
509,845.56665,488,607.666687,686.400024,873
1211,1476.300049,1360,1389.0,1192.800049,116
1207,1362.800049,841,1396.0,1205.599976,50
473,831.25,638,516.5,609.700012,114
1427,1459.290927,890,1501.3636470000001,1414.800049,1093
2078,1772.347245,533,2142.368408,1425.900024,660
1260,1681.300049,1015,1384.0,1411.0,17
388,1227.166667,83,185.666672,469.799988,2044
825,1082.600016,413,958.3333130000001,857.0,558
1022,1184.2500810000001,446,1099.166626,831.0,2339
1526,1727.0,727,1613.0,1437.199951,13
930,1127.3500980000001,96,603.0,875.7999880000001,1986
1121,1253.199951,3957,1121.0,860.2999880000001,115
827,1045.740039,423,880.400024,948.0,1346
1661,2152.899902,850,1662.0,1775.5,130
2254,2638.271484,800,2325.428467,1637.800049,72
1540,1575.650024,933,1629.125,1280.5,200
1220,1211.599976,1027,1246.0,1349.400024,413
1271,1371.900024,1034,1278.0,1486.800049,137
1266,1461.5,1517,1301.0,1745.5999760000002,86
3092,2251.5,1314,3162.0,2393.699951,61
1143,1362.642857,450,1238.142822,1047.199951,1116
1906,1776.8884420000002,574,1812.2940670000003,1400.199951,2261
1434,1563.849976,642,1468.5,1369.900024,93
1605,1615.3999019999999,566,1670.0,1482.800049,1166
1586,1585.7166339999999,537,1670.0,1326.300049,295
1177,1630.766602,1991,864.3333130000001,1069.900024,58
1082,1393.266602,707,1135.0,1163.5,1604
1911,2037.9000239999998,1394,1925.0,2023.5999760000002,301
2182,2199.549805,1997,2232.5,1704.4000239999998,49
2344,2601.475098,1541,2400.25,2378.800049,324
594,788.299988,22,757.0,552.0,248
1699,1761.233398,674,1801.3333739999998,1613.5,103
1055,1272.333333,749,1132.0,1270.599976,274
1293,1557.599976,149,1405.0,1281.900024,238
1076,1703.566569,1824,940.0,1070.699951,52
1103,1145.43335,424,1120.666626,924.900024,788
833,1024.900024,570,919.0,805.200012,846
1866,1789.0499670000002,575,1957.75,1445.099976,715
773,989.599976,142,766.0,693.5,105
979,1394.382353,427,1000.058838,860.2999880000001,7838
549,1541.25,138,316.5,675.0,1286
847,1123.566623,251,713.555542,869.2999880000001,2639
1674,1653.549927,1050,1783.125,1385.199951,188
2177,2140.5,1246,2181.0,2167.100098,9
2287,1792.1811519999999,668,2350.1875,1493.300049,441
1770,1731.5440629999998,327,1768.4000239999998,1417.900024,3491
2143,2525.466634,1248,2195.333252,2007.5,2
1046,1459.300049,284,1054.0,980.5,168
388,649.5,113,441.0,550.299988,763
2218,2022.0332030000002,509,2283.5,1519.800049,1715
580,931.599976,390,622.0,682.299988,358
1281,1409.3222660000001,710,1324.555542,1079.300049,806
751,1083.8999019999999,1116,786.0,572.299988,435
977,1205.8,204,1107.0,857.0,1391
1244,1779.949951,493,1310.0,1209.800049,106
1132,1318.300049,1351,1210.0,1166.199951,78
1696,2450.350098,1774,1729.5,1627.5,51
387,902.8000490000001,60,473.0,506.0,468
1569,1600.925084,491,1597.535767,1296.599976,1626
1210,1446.400024,705,1209.0,1364.5,1047
608,852.0,124,743.0,488.299988,44
665,915.599976,292,751.0,782.700012,309
1120,1387.599976,148,1319.0,877.2000119999999,120
1003,1519.449951,742,1042.5,1068.099976,256
449,1072.900024,564,445.0,654.400024,1237
1393,1574.200073,719,1412.0,1477.5,4
1959,2340.949951,1683,2087.5,1964.300049,85
1802,1495.666667,483,1820.0,1517.400024,351
1305,1556.599976,613,1305.0,1425.5,14
1741,1398.900065,442,1808.6666260000002,1540.800049,48
1716,1637.983997,254,1781.8063960000002,1373.900024,3476
1305,1644.1000980000001,742,1305.0,1363.300049,14
1162,1251.949951,220,1279.5,809.5,614
2296,1975.52478,677,2371.625,1660.0,346
875,1207.025024,244,958.75,801.400024,1464
1112,1379.099976,295,1170.5,857.5,2332
1041,1142.599976,362,1201.0,892.2999880000001,142
1690,1324.0,317,1725.0,1284.900024,22
1310,1793.6000980000001,745,1371.0,1544.800049,19
1731,1643.116536,527,1796.111084,1367.400024,331
1208,1773.300049,664,1207.0,1412.0,26
2525,2267.3601559999997,892,2600.600098,1844.199951,14
1742,1521.442801,297,1793.0,1700.0,24
644,1100.699951,87,745.0,710.900024,43
1418,1269.099976,659,1419.0,1312.900024,18
1770,1568.727273,283,1837.636353,1318.0,244
941,1017.3000490000001,167,1000.0,751.700012,630
950,1372.325073,425,1077.5,635.0,2230
1085,1206.0,272,1204.0,900.7999880000001,102
2507,2011.771577,621,2573.5239260000003,1778.9000239999998,427
1041,1494.5665689999998,917,1162.666626,1357.099976,16
1650,1639.866536,433,1744.1666260000002,1267.199951,258
2765,2458.380078,938,2821.399902,2617.100098,14
1258,2094.449951,583,720.5,1098.5,26
1888,1773.1666670000002,1176,2014.0,1433.699951,30
1271,1549.5,1142,1312.0,1365.699951,51
599,1034.400024,44,623.0,582.5,667
977,1255.160059,300,1040.800049,941.900024,1168
692,1075.099976,142,773.5,653.5,1081
2741,2286.8,1173,2044.199951,1890.9000239999998,3
1524,1577.483236,698,1629.333374,1436.199951,275
1256,1527.6000980000001,1107,1260.0,1576.300049,224
1366,1551.400024,1084,1365.0,1417.699951,111
2084,2293.350098,955,2169.5,2302.0,31
1255,1292.6499019999999,149,1294.0,1024.5,36
913,1092.199951,559,961.0,1042.599976,153
2532,2312.524902,638,2544.0,2371.300049,14
1121,1268.800049,553,1213.0,1005.400024,34
2607,2431.100098,1413,2625.333252,2326.399902,14
996,1209.933268,366,1095.333374,687.799988,736
1008,1262.866699,261,1117.333374,695.799988,1378
455,1000.2999880000001,89,628.0,627.799988,525
1122,1257.050049,344,1270.0,974.7999880000001,19
1089,1325.559896,397,1170.533325,915.099976,3803
2049,1813.6554899999999,489,2104.111084,1412.699951,651
1184,1298.900024,152,1251.25,824.799988,1266
1493,1688.699951,324,1626.0,879.5,207
1431,1509.540039,760,1515.099976,1181.800049,767
1389,1373.6800779999999,279,1445.800049,1080.699951,668
1634,1416.128488,288,1693.714233,970.5,742
1681,1097.199951,130,1787.0,1274.699951,92
796,1120.900024,331,993.5,830.700012,32
1462,1356.022244,284,1538.222168,785.400024,539
2991,2097.074951,662,3062.75,1816.5999760000002,302
1622,1751.8499760000002,1224,1768.0,1559.400024,23
1732,1383.599976,667,1741.0,1482.599976,23
740,940.5499880000001,180,823.5,536.099976,526
623,909.0,811,790.0,891.5,66
1050,1277.400024,372,1217.0,899.900024,608
899,795.0,280,953.0,962.5,38
464,881.900024,46,629.0,601.700012,1130
1661,1785.5201170000003,741,1734.199951,1559.599976,178
1153,1126.400024,102,1203.0,1074.900024,48
1211,1085.0,291,1325.0,1163.900024,58
863,1265.449951,361,977.5,801.700012,215
2397,2300.9,782,2425.199951,2031.0999760000002,17
1605,1638.128627,834,1697.1428219999998,1622.199951,99
651,801.599976,28,660.0,615.400024,119
581,1024.400024,205,683.0,630.400024,233
1162,1231.925049,210,1279.5,755.799988,556
1274,1273.040039,341,1326.199951,1174.0,111
806,834.0,582,928.0,461.39999400000005,511
910,1096.833333,229,961.3333130000001,806.0,384
754,1112.43335,402,822.333313,800.900024,311
587,938.75,89,696.0,630.700012,59
1001,1100.550049,226,1082.5,757.900024,239
1507,1310.9800779999998,466,1612.199951,897.2000119999999,336
627,883.6000369999999,61,687.5,570.700012,266
708,1055.8500980000001,24,809.5,468.700012,710
1775,2075.399902,34,407.0,2051.0,34
1481,1315.383301,408,1545.5,1237.5,233
714,913.599976,264,854.5,912.0,147
1702,1715.0,440,1751.6666260000002,1693.300049,15
1094,1170.5333660000001,195,1202.0,867.900024,43
637,917.2000119999999,47,762.0,616.400024,58
1364,1314.72002,570,1448.0,968.900024,604
1040,1245.849976,265,1169.5,818.299988,361
814,1031.300049,397,847.0,946.7999880000001,135
1343,1291.775024,199,1442.5,1102.800049,149
752,959.0500490000001,54,778.5,642.700012,1180
1040,1162.775024,368,1103.5,847.2000119999999,237
1712,1453.4,311,1795.0,921.7999880000001,337
1224,1319.833415,224,1307.666626,896.2999880000001,669
525,895.900024,70,708.0,430.200012,265
2244,1913.4444440000002,160,2313.555664,1421.599976,630
959,1165.400024,282,1041.0,618.0,162
1101,1221.25,237,1195.25,814.299988,510
996,1261.0,375,1056.5,1132.5,203
744,1194.800049,118,821.0,769.299988,1575
2296,1914.0398440000001,667,2376.666748,1425.599976,317
1274,1352.699951,398,1328.0,1046.199951,104
2070,1744.75,422,2112.0,1214.099976,127
1852,1657.314314,385,1905.571411,1521.900024,29
2132,1967.254616,542,2202.727295,1224.199951,300
1239,1535.1799800000001,290,1290.400024,1267.0,20
1852,1742.8499350000002,353,1923.6666260000002,1650.5,48
1070,1220.06665,731,1161.333374,1269.199951,48
1389,1425.700073,667,1463.5,1225.699951,21
1415,1554.3500980000001,309,1438.5,1091.400024,192
2634,2138.00013,474,2701.266602,1433.099976,153
2319,2100.699916,266,2391.857178,1894.300049,14
1296,1353.800049,218,1298.5,963.2999880000001,290
2581,2097.643799,283,2640.9375,1855.4000239999998,34
1307,1656.4800779999998,462,1162.199951,958.599976,899
1592,1608.6777339999999,385,1673.0,852.900024,249
1005,820.399963,793,947.0,1114.0,43
2912,2090.1868489999997,307,2983.266602,1417.800049,62
2332,2054.4998600000004,705,2410.357178,1773.800049,228
960,1439.075073,254,1082.5,828.599976,206
1167,1284.666667,496,1201.0,1194.0,25
2728,2421.399902,65,2903.0,1900.0999760000002,41
1595,1395.72002,497,1645.800049,963.7000119999999,171
2032,1843.2250980000001,429,2092.5,1554.900024,94
348,1175.199951,790,424.0,477.200012,64
0,994.2999880000001,81,143.0,406.899994,21
0,766.6999509999999,93,143.0,640.0,9
573,911.0,1218,675.0,759.5,429
1169,1267.566732,1885,1215.666626,1339.599976,67
473,794.049988,215,583.5,521.5,393
383,686.200012,15,359.0,337.5,8
487,1409.699951,102,499.0,887.2999880000001,29
853,1317.1499019999999,141,892.5,1038.5,57
1343,1255.889941,396,1406.900024,1195.5,2208
875,1232.25,236,958.75,759.599976,1460
806,890.8000490000001,582,928.0,531.200012,565
2070,1772.3909800000001,401,2113.181885,1326.699951,132
580,1102.400024,46,584.0,432.0,675
1177,1154.099976,199,1228.5,751.200012,170
1560,1547.246745,414,1628.666626,1095.5,231
692,1479.800049,596,795.0,958.400024,20
1121,1198.899984,331,1189.333374,1378.099976,19
753,835.900024,605,756.0,427.60000599999995,34
1186,1117.574951,383,1274.0,1138.400024,298
1008,1121.599976,178,1034.5,715.099976,425
1207,1316.775024,272,1294.75,1288.400024,90
958,889.7000119999999,387,1107.0,621.299988,344
1191,983.56665,421,1231.333374,808.200012,921
1105,1170.5,296,1146.0,1157.699951,13
2268,1940.4143420000003,395,2323.428467,1543.5,155
901,1000.0500490000001,603,995.5,794.299988,207
913,1495.5,504,1022.3333130000001,1198.400024,19
1172,1096.366699,338,1278.333374,1203.599976,53
821,733.799988,294,924.0,476.89999400000005,408
565,995.650024,164,436.0,648.400024,1032
552,1413.699951,106,674.0,492.10000599999995,337
692,2043.299927,27,0.0,786.799988,311
1340,2441.600098,40,1391.5,1181.599976,678
1310,1125.3999019999999,276,1368.5,879.900024,258
1085,1067.733317,285,1190.333374,713.5,741
689,1045.900024,173,776.5,666.599976,258
1252,1121.75,333,1314.5,931.5,44
1308,1280.481712,339,1360.272705,859.2999880000001,2024
1842,1655.1400390000001,465,1915.699951,1020.099976,283
521,2074.199951,27,0.0,391.600006,1158
1081,812.099976,654,1111.0,701.200012,176
1162,1248.200033,459,1175.0,891.7999880000001,91
1175,1203.766683,204,1195.0,732.200012,428
962,1227.6799800000001,253,1064.400024,759.0,1974
1333,1334.31665,437,1450.833374,1184.599976,319
1861,1799.949951,780,1906.0,1377.099976,10
1127,1128.166667,457,1225.333374,821.200012,602
1312,1289.8599609999999,309,1409.400024,985.0,337
1009,1117.400024,260,1128.5,819.700012,53
970,996.8000490000001,346,1076.333374,729.299988,343
2118,1757.949951,213,2177.0,1320.0,539
893,978.3000490000001,1294,925.0,992.099976,14
1336,1036.625,343,1389.5,889.2999880000001,296
682,574.200012,53,753.0,500.60000599999995,573
1207,1192.599976,354,1257.0,849.7000119999999,308
750,1191.300049,90,309.0,639.5,14
1148,1122.5,696,1267.0,997.400024,645
1446,1409.733398,454,1558.333374,1492.300049,62
963,1133.650024,65,1032.0,786.299988,137
761,1047.099976,99,929.0,718.799988,25
1227,1353.5,232,1314.0,1105.599976,1542
1852,1745.4625239999998,349,1901.75,1669.300049,39
580,1127.0,45,584.0,463.299988,639
814,1505.099976,49,816.0,777.799988,639
1310,1455.674927,275,1361.0,1229.099976,111
1196,1381.049927,222,1253.0,1104.0,46
854,1043.8,338,973.400024,648.799988,516
1266,1368.133301,180,1340.666626,1142.900024,166
527,996.3000490000001,12,719.0,457.700012,100
669,763.3000490000001,57,821.0,654.400024,441
2063,1767.7701170000003,371,2103.600098,1550.199951,115
1179,1028.900024,717,1179.0,1422.099976,50
970,1161.099935,443,1083.666626,808.5,924
1099,1172.849976,557,1210.0,1002.2000119999999,214
1161,1412.633301,756,1264.333374,1071.900024,251
806,967.200033,98,865.3333130000001,604.299988,1535
1607,1612.566623,310,1685.888916,1259.900024,127
708,1342.099976,46,781.0,564.299988,492
1063,1092.949951,256,1140.0,684.599976,475
1006,1087.349976,255,1042.0,1101.900024,209
2603,1934.233398,452,2663.5,1699.300049,247
1274,1486.733236,624,1378.0,1411.0,109
1170,1367.3999019999999,234,1252.5,1263.900024,23
1099,1318.3999019999999,675,1163.0,1481.0,30
1024,1410.5,247,1094.0,1151.800049,101
1388,1592.227273,523,1468.090942,1079.800049,4934
1112,1405.700073,290,1170.5,875.7999880000001,2196
910,1061.4666339999999,230,961.3333130000001,837.799988,398
2132,1999.375326,525,2204.166748,1382.900024,303
814,1439.800049,43,816.0,794.599976,664
1383,1407.599935,351,1474.333374,908.7000119999999,142
1655,1739.0415039999998,602,1727.9166260000002,1303.699951,227
2301,2004.0333660000001,1142,2381.333252,1828.0,14
1049,1380.75,443,1113.5,1120.300049,73
1421,1438.549927,376,1497.75,1238.599976,385
1184,2294.0,284,1184.0,1716.300049,7
1207,1272.549927,252,1235.25,1074.099976,256
1184,1480.8400390000002,314,1273.599976,1272.199951,273
1140,1300.75,492,1313.0,914.2999880000001,335
1395,1375.0,508,1479.599976,1110.599976,1069
2318,2021.8726920000001,602,2371.363525,1686.4000239999998,333
801,1326.299927,291,920.5,1076.099976,263
1035,1778.9000239999998,364,1116.0,1578.599976,59
915,1655.199951,532,984.25,1135.199951,94
1414,1436.675049,357,1513.25,1165.5,68
1161,2210.899902,928,584.0,1248.199951,42
1048,982.5,376,1126.0,825.599976,311
784,1276.5,373,845.0,816.0,225
783,1461.900024,1420,972.0,1200.599976,109
1124,2294.2999670000004,101,1166.666626,1302.199951,1772
1319,1487.75,210,1384.0,1384.599976,37
1290,1430.699951,652,1331.0,1206.699951,49
1512,1424.324951,452,1590.75,1190.400024,233
1267,1380.379883,414,1419.599976,984.0,944
877,1027.300049,434,877.0,914.0,416
1474,1427.3999019999999,372,1532.5,1028.699951,64
1502,1516.7572539999999,456,1585.428589,1099.800049,2775
1914,1839.61843,559,1989.0,1321.099976,401
543,1430.0,515,675.0,586.799988,1267
1131,1007.2999880000001,709,1133.0,834.700012,306
1393,1515.766602,561,1409.333374,1074.400024,55
1355,1464.299927,481,1423.0,1060.800049,342
1200,1481.9334310000002,324,1299.333374,965.7999880000001,2098
1460,1495.285575,393,1568.857178,1242.300049,691
759,1642.400024,372,759.0,1122.699951,23
1225,1355.766683,466,1277.666626,1199.800049,487
1377,1299.275024,387,1397.0,1034.900024,549
1240,1445.199951,254,1336.5,1013.599976,61
1001,1151.699951,311,1043.333374,910.2999880000001,451
1889,2075.425049,247,1999.5,1223.900024,971
1559,1362.5,380,1627.599976,1157.300049,381
1396,1530.900065,488,1499.333374,1008.400024,544
1392,1674.588867,470,1453.444458,1237.199951,650
1585,1698.8333329999998,446,1641.666626,1502.300049,69
1195,1443.849976,307,1301.5,1145.800049,58
1041,1143.349976,365,1201.0,784.400024,161
1177,1142.599976,190,1228.5,636.099976,198
1383,1431.666667,353,1474.333374,898.2999880000001,137
852,1354.199951,25,919.0,825.900024,6
1649,1450.5,383,1721.6666260000002,1099.599976,72
1653,1589.6000980000001,193,1721.1666260000002,1086.099976,27
1063,1329.699951,271,1218.5,1271.900024,42
1144,1243.400024,92,1250.0,1318.5,60
1690,1160.233317,312,1725.0,963.099976,18
383,642.8000490000001,17,359.0,324.299988,7
1105,1130.633382,1507,1220.0,948.5,67
634,598.8000490000001,159,664.0,612.900024,39
930,1245.800049,1254,992.0,1004.7999880000001,27
2030,1867.1500239999998,1230,1990.5,1586.300049,10
1860,2093.75,1812,1918.5,2357.100098,11
1310,1784.5999760000002,634,1371.0,1616.400024,18
590,1511.8999019999999,686,741.0,1068.0,23
2165,1998.733398,1074,2027.0,2005.4000239999998,37
399,1151.224976,206,377.5,647.799988,1929
1731,1572.489041,508,1796.111084,1302.800049,280
754,1121.4666339999999,396,822.333313,800.700012,280
0,999.7999880000001,85,143.0,398.600006,21
1560,1509.406641,400,1628.666626,1086.699951,243
1310,1380.622179,248,1355.777832,1083.5,152
1655,1716.8250329999998,573,1727.9166260000002,1333.400024,236
823,1102.199951,30,818.0,682.400024,15
1310,1383.933268,459,1358.0,1037.400024,131
2132,1751.694696,338,2225.842041,1493.800049,43
787,1111.699951,722,866.5,983.099976,90
791,879.3000490000001,446,796.0,688.900024,207
872,1235.733317,296,925.0,766.0,346
777,854.7000119999999,44,285.0,534.400024,80
1211,1557.6000980000001,426,1256.5,1243.699951,22
1034,870.2000119999999,74,1093.0,816.900024,61
1132,1352.3599609999999,241,1188.0,873.7000119999999,136
2119,1913.115748,486,2201.263184,1454.699951,122
1778,1844.6308589999999,265,1863.153809,1907.5,45
1434,1735.375,417,1506.75,1536.199951,18
2164,2208.899902,561,2214.75,2283.800049,10
845,1214.699951,1035,1032.0,1018.2999880000001,42
818,843.6000369999999,23,823.0,958.0,28
915,1217.550049,262,971.0,823.599976,195
736,990.4500119999999,322,738.5,652.200012,621
1995,1884.022987,255,2079.076904,1599.599976,46
780,1291.985631,369,749.714294,774.900024,1339
1122,1277.988932,516,1197.666626,932.400024,312
563,698.899963,970,602.0,653.900024,82
1618,1574.0333660000001,332,1670.666626,1410.400024,9
2321,1835.707782,321,2403.5385739999997,2037.5,14
1769,1738.356201,539,1828.625,1279.400024,385
433,1014.7999880000001,149,508.0,705.900024,293
328,907.3999630000001,156,493.0,482.799988,830
711,1150.266683,670,766.666687,766.299988,201
2615,2137.942941,463,2697.571533,1849.300049,47
1098,1333.25,462,1169.25,1182.599976,54
1036,1137.8599609999999,317,1091.199951,960.7000119999999,289
1481,1545.023137,362,1534.461548,1172.199951,150
1579,1893.040039,552,1669.599976,1637.800049,18
588,970.2000119999999,19,629.0,813.400024,54
143,1038.599976,15,0.0,359.799988,165
1982,2042.30013,1605,2049.0,2311.100098,26
1208,1688.0,533,1207.0,1361.599976,24
692,1371.5,497,795.0,844.900024,18
2332,2074.0,394,2334.0,2095.899902,37
853,1475.1000980000001,45,862.0,1126.900024,146
2156,1930.300049,324,2157.0,1713.5,28
2404,2147.875,379,2408.75,2257.800049,33
1286,1532.200073,256,1297.5,1100.800049,177
990,1373.099976,143,1055.0,984.400024,354
2525,2126.1201170000004,804,2600.600098,1676.400024,11
2301,1998.5333660000001,1087,2381.333252,1784.699951,13
823,1112.099976,23,818.0,677.0,17
